Metric,Validation,Test
da,49.375,52.76
mw_da,46.571357502004844,49.37954832766263
rank_ic,0.024311726129263408,0.017033179297511792
hit_rate,57.5,53.4
ann_return_long,20.87620414131379,13.32843533143753
ann_return_ls,-7.507926134251129,-26.701625044694126
ann_return_bench,18.671403052032552,25.980624902625888
sharpe_long,0.7064384710627448,0.5541113801874546
sharpe_ls,-0.8629958977737513,-2.0488519721723657
sharpe_bench,0.6613942267481713,1.569015967727793
mdd_long,16.651553512905302,16.62895115697489
mdd_ls,15.686496658254004,26.79515019702793
mdd_bench,15.417982973237313,9.103997564804784
calmar_long,1.2537090983813788,0.8015199037882205
calmar_ls,-0.47862351280969856,-0.9965096238817062
win_rate_long,58.333333333333336,52.0
win_rate_ls,43.75,42.0
ann_return_long_mag,26.66766019908964,8.394314254110355
ann_return_ls_mag,0.9906890429323887,-36.70819807885089
sharpe_long_mag,0.870848506285957,0.24322261283395144
sharpe_ls_mag,-0.23245247104155947,-2.2573078451276345
mdd_long_mag,17.82505043130701,16.508804346614944
mdd_ls_mag,9.369852876123206,32.17783700152671
