Metric,Validation,Test
da,50.14225941422594,51.63433608226771
mw_da,47.850141843696626,49.00459923864952
rank_ic,0.025000865841502615,-0.002599823868977184
hit_rate,56.875,49.75
ann_return_long,19.794455107220102,5.332692189848161
ann_return_ls,-8.248560908896959,-24.265572981351326
ann_return_bench,18.671403052032538,14.12638750214868
sharpe_long,0.6472376675876653,0.05662655998375707
sharpe_ls,-0.9022407834401756,-1.7177180237631655
sharpe_bench,0.6613942267481705,0.483306795794493
mdd_long,20.28923082091943,20.54455302019861
mdd_ls,18.403561259040433,43.74727381935196
mdd_bench,15.417982973237315,15.803797202226008
calmar_long,0.9756138752589288,0.25956720424169194
calmar_ls,-0.44820460522796884,-0.5546762315190771
win_rate_long,60.416666666666664,50.83333333333333
win_rate_ls,43.75,43.333333333333336
ann_return_long_mag,24.698562162410585,1.8270979999688524
ann_return_ls_mag,0.14159388643574686,-34.06897934434156
sharpe_long_mag,0.7934389485107357,-0.08867388958165677
sharpe_ls_mag,-0.2617525486404477,-1.8353497638847787
mdd_long_mag,21.218698561159297,23.30904773530646
mdd_ls_mag,14.513051143170141,56.97336496086668
