Metric,Validation,Test
da,51.916666666666664,51.2
mw_da,50.74716961915418,50.12726855521641
rank_ic,0.050057947496652544,0.03328928822771465
hit_rate,58.125,51.0
ann_return_long,32.12089417324703,15.36385298299567
ann_return_ls,6.735876516891648,-4.73710438210377
ann_return_bench,18.671403052032552,25.980624902625888
sharpe_long,1.1280552602130631,0.5685278386235222
sharpe_ls,0.20319837932458018,-0.48862131921679125
sharpe_bench,0.6613942267481713,1.569015967727793
mdd_long,17.4717141043724,12.025605883741381
mdd_ls,7.687965531800265,11.715768296932662
mdd_bench,15.417982973237313,9.103997564804784
calmar_long,1.8384512235813537,1.2775949196678398
calmar_ls,0.8761585219170891,-0.40433578592912295
win_rate_long,62.5,54.0
win_rate_ls,62.5,48.0
ann_return_long_mag,26.658846363090944,29.52511594597213
ann_return_ls_mag,-3.8550488753651804,15.7569608146653
sharpe_long_mag,0.8374765283260647,1.171692014331371
sharpe_ls_mag,-0.4996676317779264,0.5406969266411044
mdd_long_mag,18.927779261450077,8.735522812093235
mdd_ls_mag,14.494225489483423,9.163547612862482
