lookback,sampled_nonoverlap_windows,clipped_values,normalization_values,clip_rate,constant_feature_windows,symbol
63,21,4,7938,0.0005039052658100278,0,SSB
63,31,0,11718,0.0,0,SSI
63,30,7,11340,0.0006172839506172839,0,STB
63,8,4,3024,0.0013227513227513227,0,TAL
63,30,5,11340,0.0004409171075837742,0,TCB
63,30,7,11340,0.0006172839506172839,0,TCH
63,3,2,1134,0.001763668430335097,0,TCX
63,12,8,4536,0.001763668430335097,0,TMB
63,31,4,11718,0.0003413551800648575,0,TNG
63,30,9,11340,0.0007936507936507937,0,TPB
63,22,12,8316,0.001443001443001443,0,TVD
63,31,4,11718,0.0003413551800648575,0,VC3
63,30,7,11340,0.0006172839506172839,0,VCB
63,31,6,11718,0.0005120327700972862,0,VCG
63,31,2,11718,0.00017067759003242875,0,VCI
63,2,0,756,0.0,0,VCK
63,31,9,11718,0.0007680491551459293,0,VCS
63,29,9,10962,0.0008210180623973727,0,VEA
63,27,9,10206,0.0008818342151675485,0,VEF
63,22,18,8316,0.0021645021645021645,0,VFS
63,30,4,11340,0.0003527336860670194,0,VGC
63,29,6,10962,0.0005473453749315818,0,VGI
63,29,5,10962,0.0004561211457763182,0,VGT
63,30,6,11340,0.0005291005291005291,0,VHC
63,30,6,11340,0.0005291005291005291,0,VHM
63,29,4,10962,0.00036489691662105453,0,VIB
63,30,16,11340,0.0014109347442680777,0,VIC
63,30,7,11340,0.0006172839506172839,0,VIX
63,30,11,11340,0.0009700176366843034,0,VJC
63,29,4,10962,0.00036489691662105453,0,VND
63,30,3,11340,0.00026455026455026457,0,VNM
63,31,0,11718,0.0,0,VPB
63,31,6,11718,0.0005120327700972862,0,VPI
63,4,2,1512,0.0013227513227513227,0,VPL
63,2,0,756,0.0,0,VPX
63,30,9,11340,0.0007936507936507937,0,VRE
63,30,6,11340,0.0005291005291005291,0,VSC
63,27,3,10206,0.00029394473838918284,0,VTP
126,11,14,8316,0.0016835016835016834,0,ABB
126,12,19,9072,0.0020943562610229276,0,ABI
126,15,17,11340,0.0014991181657848325,0,ACB
126,13,19,9828,0.0019332519332519332,0,ACV
126,15,2,11340,0.0001763668430335097,0,ANV
126,9,4,6804,0.0005878894767783657,0,BAF
126,12,10,9072,0.0011022927689594356,0,BCM
126,15,8,11340,0.0007054673721340388,0,BID
126,15,6,11340,0.0005291005291005291,0,BMP
126,13,14,9828,0.0014245014245014246,0,BSI
